decimalLatitude,decimalLongitude,genus
7.192263,171.093619,Plesiastrea
7.192263,171.093619,Pavona
7.192263,171.093619,Seriatopora
7.192263,171.093619,Goniastrea
7.192263,171.093619,Leptoria
7.192263,171.093619,Oulophyllia
7.192263,171.093619,Sandalolitha
7.157102,171.203081,Pocillopora
7.157102,171.203081,Isopora
7.157102,171.203081,Turbinaria
7.157102,171.203081,Herpolitha
7.158656,171.163087,Euphyllia
7.089031,171.129485,Galaxea
7.089031,171.129485,Isopora
7.089031,171.129485,Leptoria
7.089031,171.129485,Oxypora
7.089031,171.129485,Plerogyra
7.089031,171.129485,Merulina
7.089031,171.129485,Fungia
7.089031,171.129485,Hydnophora
7.089031,171.129485,Leptastrea
7.089031,171.129485,Oulophyllia
7.089031,171.129485,Platygyra
7.089031,171.129485,Pocillopora
7.089031,171.129485,Herpolitha
7.089031,171.129485,Mycedium
7.089031,171.129485,Physogyra
7.089031,171.129485,Psammocora
7.089031,171.129485,Lobophyllia
7.089031,171.129485,Favia
7.089031,171.129485,Montipora
7.089031,171.129485,Pectinia
7.089031,171.129485,Porites
7.089031,171.129485,Stylophora
7.089031,171.129485,Goniopora
7.089031,171.129485,Plesiastrea
7.089031,171.129485,Pavona
7.089031,171.129485,Seriatopora
7.089031,171.129485,Stylocoeniella
7.094124,171.13223,Favites
7.094124,171.13223,Isopora
7.094124,171.13223,Montipora
7.094124,171.13223,Porites
7.094124,171.13223,Stylophora
7.094124,171.13223,Euphyllia
7.176081,171.127435,Favites
7.202968,171.072371,Euphyllia
7.202968,171.072371,Merulina
7.202968,171.072371,Plesiastrea
7.202968,171.072371,Seriatopora
7.210496,171.056222,Leptoseris
7.192263,171.093619,Favites
7.192263,171.093619,Mycedium
7.192263,171.093619,Psammocora
7.192263,171.093619,Euphyllia
7.089031,171.129485,Leptoseris
7.089031,171.129485,Goniastrea
7.094124,171.13223,Gardineroseris
7.094124,171.13223,Oulophyllia
7.094124,171.13223,Plesiastrea
7.094124,171.13223,Sandalolitha
7.176081,171.127435,Plesiastrea
7.176081,171.127435,Oulophyllia
7.202968,171.072371,Psammocora
7.202968,171.072371,Favia
7.202968,171.072371,Pectinia
7.210496,171.056222,Herpolitha
7.210496,171.056222,Stylocoeniella
7.192263,171.093619,Fungia
7.192263,171.093619,Platygyra
7.157102,171.203081,Leptoseris
7.089031,171.129485,Turbinaria
7.089031,171.129485,Echinophyllia
7.089031,171.129485,Pachyseris
7.094124,171.13223,Favia
7.094124,171.13223,Pectinia
7.094124,171.13223,Echinophyllia
7.094124,171.13223,Pachyseris
7.210496,171.056222,Gardineroseris
7.210496,171.056222,Goniopora
7.210496,171.056222,Merulina
7.210496,171.056222,Plesiastrea
7.210496,171.056222,Pavona
7.210496,171.056222,Seriatopora
7.210496,171.056222,Goniastrea
7.210496,171.056222,Leptoria
7.210496,171.056222,Oxypora
7.210496,171.056222,Fungia
7.210496,171.056222,Hydnophora
7.210496,171.056222,Oulophyllia
7.210496,171.056222,Platygyra
7.210496,171.056222,Sandalolitha
7.157102,171.203081,Gardineroseris
7.157102,171.203081,Goniopora
7.157102,171.203081,Plesiastrea
7.157102,171.203081,Pavona
7.157102,171.203081,Stylocoeniella
7.157102,171.203081,Galaxea
7.157102,171.203081,Goniastrea
7.157102,171.203081,Leptoria
7.157102,171.203081,Oxypora
7.157102,171.203081,Plerogyra
7.157102,171.203081,Fungia
7.157102,171.203081,Hydnophora
7.157102,171.203081,Leptastrea
7.157102,171.203081,Oulophyllia
7.157102,171.203081,Platygyra
7.157102,171.203081,Mycedium
7.157102,171.203081,Physogyra
7.157102,171.203081,Psammocora
7.157102,171.203081,Lobophyllia
7.089031,171.129485,Gardineroseris
7.089031,171.129485,Sandalolitha
7.089031,171.129485,Favites
7.089031,171.129485,Euphyllia
7.103619,171.382242,Herpolitha
7.103619,171.382242,Physogyra
7.103619,171.382242,Goniopora
7.103619,171.382242,Leptoseris
7.103619,171.382242,Pavona
7.103619,171.382242,Galaxea
7.103619,171.382242,Leptoria
7.103619,171.382242,Oxypora
7.103619,171.382242,Plerogyra
7.176081,171.127435,Gardineroseris
7.176081,171.127435,Goniopora
7.176081,171.127435,Leptoseris
7.176081,171.127435,Galaxea
7.176081,171.127435,Isopora
7.176081,171.127435,Leptoria
7.176081,171.127435,Oxypora
7.176081,171.127435,Plerogyra
7.176081,171.127435,Fungia
7.176081,171.127435,Hydnophora
7.176081,171.127435,Montipora
7.176081,171.127435,Platygyra
7.176081,171.127435,Stylophora
7.176081,171.127435,Euphyllia
7.176081,171.127435,Herpolitha
7.176081,171.127435,Mycedium
7.176081,171.127435,Physogyra
7.176081,171.127435,Psammocora
7.176081,171.127435,Lobophyllia
7.202968,171.072371,Hydnophora
7.202968,171.072371,Turbinaria
7.202968,171.072371,Herpolitha
7.202968,171.072371,Mycedium
7.202968,171.072371,Physogyra
7.202968,171.072371,Lobophyllia
7.202968,171.072371,Echinophyllia
7.202968,171.072371,Goniastrea
7.202968,171.072371,Pachyseris
7.202968,171.072371,Gardineroseris
7.202968,171.072371,Goniopora
7.202968,171.072371,Leptoseris
7.202968,171.072371,Pavona
7.192263,171.093619,Goniopora
7.192263,171.093619,Leptoseris
7.192263,171.093619,Pocillopora
7.192263,171.093619,Galaxea
7.192263,171.093619,Isopora
7.192263,171.093619,Oxypora
7.192263,171.093619,Plerogyra
7.192263,171.093619,Hydnophora
7.192263,171.093619,Leptastrea
7.192263,171.093619,Turbinaria
7.192263,171.093619,Herpolitha
7.192263,171.093619,Physogyra
7.158656,171.163087,Echinophyllia
7.158656,171.163087,Goniastrea
7.158656,171.163087,Leptoria
7.158656,171.163087,Pachyseris
7.158656,171.163087,Merulina
7.158656,171.163087,Fungia
7.158656,171.163087,Oulophyllia
7.158656,171.163087,Platygyra
7.158656,171.163087,Sandalolitha
7.158656,171.163087,Favites
7.158656,171.163087,Psammocora
7.158656,171.163087,Favia
7.158656,171.163087,Montipora
7.158656,171.163087,Pectinia
7.158656,171.163087,Stylophora
7.158656,171.163087,Seriatopora
7.094124,171.13223,Lobophyllia
7.094124,171.13223,Goniopora
7.094124,171.13223,Leptoseris
7.094124,171.13223,Merulina
7.094124,171.13223,Pavona
7.094124,171.13223,Seriatopora
7.094124,171.13223,Stylocoeniella
7.094124,171.13223,Galaxea
7.094124,171.13223,Goniastrea
7.094124,171.13223,Leptoria
7.094124,171.13223,Oxypora
7.094124,171.13223,Plerogyra
7.094124,171.13223,Fungia
7.094124,171.13223,Hydnophora
7.094124,171.13223,Leptastrea
7.094124,171.13223,Platygyra
7.094124,171.13223,Pocillopora
7.210496,171.056222,Mycedium
7.210496,171.056222,Physogyra
7.210496,171.056222,Psammocora
7.210496,171.056222,Lobophyllia
7.103619,171.382242,Leptastrea
7.103619,171.382242,Turbinaria
7.210496,171.056222,Echinophyllia
7.210496,171.056222,Favia
7.210496,171.056222,Pachyseris
7.210496,171.056222,Pectinia
7.157102,171.203081,Echinophyllia
7.157102,171.203081,Pachyseris
7.176081,171.127435,Echinophyllia
7.176081,171.127435,Goniastrea
7.176081,171.127435,Pachyseris
7.202968,171.072371,Galaxea
7.202968,171.072371,Isopora
7.202968,171.072371,Oxypora
7.202968,171.072371,Plerogyra
7.192263,171.093619,Echinophyllia
7.192263,171.093619,Pachyseris
7.158656,171.163087,Gardineroseris
7.103619,171.382242,Gardineroseris
7.094124,171.13223,Herpolitha
7.094124,171.13223,Mycedium
7.094124,171.13223,Physogyra
7.094124,171.13223,Psammocora
7.192263,171.093619,Stylocoeniella
7.210496,171.056222,Favites
7.10259,171.300762,Fungia
7.121292,171.351014,Acropora
7.086178,171.192138,Alveopora
7.086178,171.192138,Diploastrea
7.086178,171.192138,Acropora
7.121292,171.351014,Caulastraea
7.086178,171.192138,Acanthastrea
7.086178,171.192138,Ctenactis
7.121292,171.351014,Astreopora
7.086178,171.192138,Coscinaraea
7.086178,171.192138,Cyphastrea
7.121292,171.351014,Acanthastrea
7.121292,171.351014,Echinopora
7.086178,171.192138,Caulastraea
7.086178,171.192138,Astreopora
7.086178,171.192138,Echinopora
7.121292,171.351014,Alveopora
7.121292,171.351014,Diploastrea
7.121292,171.351014,Coscinaraea
7.121292,171.351014,Cyphastrea
7.086178,171.192138,Leptastrea
7.121292,171.351014,Favites
7.121292,171.351014,Porites
7.121292,171.351014,Merulina
7.121292,171.351014,Seriatopora
7.121292,171.351014,Sandalolitha
7.121292,171.351014,Ctenactis
7.086178,171.192138,Favites
7.121292,171.351014,Euphyllia
7.121292,171.351014,Goniopora
7.121292,171.351014,Herpolitha
7.121292,171.351014,Mycedium
7.121292,171.351014,Physogyra
7.121292,171.351014,Stylocoeniella
7.121292,171.351014,Lobophyllia
7.121292,171.351014,Echinophyllia
7.121292,171.351014,Goniastrea
7.121292,171.351014,Pachyseris
7.121292,171.351014,Gardineroseris
7.121292,171.351014,Leptoseris
7.121292,171.351014,Plesiastrea
7.121292,171.351014,Galaxea
7.121292,171.351014,Oxypora
7.121292,171.351014,Plerogyra
7.121292,171.351014,Leptoria
7.121292,171.351014,Isopora
7.121292,171.351014,Fungia
7.121292,171.351014,Hydnophora
7.121292,171.351014,Montipora
7.121292,171.351014,Oulophyllia
7.121292,171.351014,Platygyra
7.121292,171.351014,Stylophora
7.086178,171.192138,Herpolitha
7.086178,171.192138,Pavona
7.086178,171.192138,Stylocoeniella
7.086178,171.192138,Echinophyllia
7.086178,171.192138,Goniastrea
7.086178,171.192138,Leptoria
7.086178,171.192138,Pachyseris
7.086178,171.192138,Leptoseris
7.086178,171.192138,Pocillopora
7.086178,171.192138,Porites
7.086178,171.192138,Galaxea
7.086178,171.192138,Isopora
7.086178,171.192138,Oxypora
7.086178,171.192138,Plerogyra
7.086178,171.192138,Psammocora
7.086178,171.192138,Merulina
7.086178,171.192138,Favia
7.086178,171.192138,Montipora
7.086178,171.192138,Pectinia
7.086178,171.192138,Stylophora
7.086178,171.192138,Turbinaria
7.086178,171.192138,Goniopora
7.086178,171.192138,Physogyra
7.086178,171.192138,Gardineroseris
7.086178,171.192138,Lobophyllia
7.086178,171.192138,Hydnophora
7.086178,171.192138,Euphyllia
7.086178,171.192138,Plesiastrea
7.086178,171.192138,Seriatopora
7.121292,171.351014,Leptastrea
7.121292,171.351014,Pocillopora
7.121292,171.351014,Psammocora
7.121292,171.351014,Turbinaria
7.086178,171.192138,Fungia
7.086178,171.192138,Oulophyllia
7.086178,171.192138,Platygyra
7.086178,171.192138,Sandalolitha
7.121292,171.351014,Pavona
7.086178,171.192138,Mycedium
7.121292,171.351014,Favia
7.121292,171.351014,Pectinia
8.973033,167.73158,Cycloseris
8.934978,167.753141,Cycloseris
8.826724,167.685362,Turbinaria
7.128226,171.355937,Acanthastrea
7.101511,171.265532,Acanthastrea
7.182269,171.086561,Acanthastrea
7.128226,171.355937,Diploastrea
7.128226,171.355937,Cyphastrea
7.128226,171.355937,Acropora
7.128226,171.355937,Ctenactis
7.101511,171.265532,Cyphastrea
7.101511,171.265532,Acropora
7.101511,171.265532,Coscinaraea
7.11065,171.135078,Diploastrea
7.11065,171.135078,Cyphastrea
7.11065,171.135078,Acropora
7.182269,171.086561,Acropora
7.182269,171.086561,Caulastraea
7.11065,171.135078,Herpolitha
7.11065,171.135078,Mycedium
7.11065,171.135078,Physogyra
7.11065,171.135078,Psammocora
7.11065,171.135078,Lobophyllia
7.11065,171.135078,Platygyra
7.11065,171.135078,Goniopora
7.11065,171.135078,Leptoseris
7.11065,171.135078,Pavona
7.11065,171.135078,Stylocoeniella
7.11065,171.135078,Goniastrea
7.11065,171.135078,Leptoria
7.11065,171.135078,Merulina
7.11065,171.135078,Leptastrea
7.11065,171.135078,Oulophyllia
7.11065,171.135078,Pocillopora
7.11065,171.135078,Sandalolitha
7.11065,171.135078,Seriatopora
7.11065,171.135078,Galaxea
7.11065,171.135078,Isopora
7.11065,171.135078,Plerogyra
7.182269,171.086561,Goniopora
7.182269,171.086561,Leptoseris
7.182269,171.086561,Leptastrea
7.182269,171.086561,Pocillopora
7.182269,171.086561,Turbinaria
7.182269,171.086561,Mycedium
7.182269,171.086561,Physogyra
7.182269,171.086561,Psammocora
7.182269,171.086561,Lobophyllia
7.182269,171.086561,Platygyra
7.128226,171.355937,Coscinaraea
7.101511,171.265532,Astreopora
7.11065,171.135078,Astreopora
7.182269,171.086561,Astreopora
7.11065,171.135078,Favia
7.11065,171.135078,Montipora
7.11065,171.135078,Pectinia
7.11065,171.135078,Stylophora
7.182269,171.086561,Pavona
7.182269,171.086561,Stylocoeniella
7.128226,171.355937,Caulastraea
7.101511,171.265532,Alveopora
7.11065,171.135078,Coscinaraea
7.182269,171.086561,Alveopora
7.182269,171.086561,Echinopora
7.182269,171.086561,Leptoria
7.182269,171.086561,Diploastrea
7.128226,171.355937,Echinophyllia
7.128226,171.355937,Goniastrea
7.128226,171.355937,Leptoria
7.128226,171.355937,Pachyseris
7.128226,171.355937,Merulina
7.128226,171.355937,Fungia
7.128226,171.355937,Hydnophora
7.128226,171.355937,Oulophyllia
7.128226,171.355937,Platygyra
7.128226,171.355937,Pocillopora
7.128226,171.355937,Porites
7.128226,171.355937,Sandalolitha
7.128226,171.355937,Gardineroseris
7.128226,171.355937,Favites
7.128226,171.355937,Galaxea
7.128226,171.355937,Isopora
7.128226,171.355937,Plerogyra
7.128226,171.355937,Psammocora
7.128226,171.355937,Favia
7.128226,171.355937,Montipora
7.128226,171.355937,Pectinia
7.128226,171.355937,Stylophora
7.128226,171.355937,Euphyllia
7.128226,171.355937,Seriatopora
7.101511,171.265532,Fungia
7.101511,171.265532,Leptastrea
7.101511,171.265532,Oulophyllia
7.101511,171.265532,Platygyra
7.101511,171.265532,Pocillopora
7.101511,171.265532,Seriatopora
7.101511,171.265532,Herpolitha
7.101511,171.265532,Isopora
7.101511,171.265532,Mycedium
7.101511,171.265532,Physogyra
7.101511,171.265532,Psammocora
7.101511,171.265532,Lobophyllia
7.101511,171.265532,Favia
7.101511,171.265532,Montipora
7.101511,171.265532,Pectinia
7.101511,171.265532,Stylophora
7.101511,171.265532,Goniopora
7.101511,171.265532,Pavona
7.101511,171.265532,Porites
7.101511,171.265532,Stylocoeniella
7.101511,171.265532,Echinophyllia
7.101511,171.265532,Goniastrea
7.101511,171.265532,Leptoria
7.101511,171.265532,Pachyseris
7.101511,171.265532,Merulina
7.101511,171.265532,Gardineroseris
7.101511,171.265532,Sandalolitha
7.101511,171.265532,Favites
7.101511,171.265532,Galaxea
7.101511,171.265532,Oxypora
7.101511,171.265532,Plerogyra
7.182269,171.086561,Fungia
7.182269,171.086561,Hydnophora
7.182269,171.086561,Euphyllia
7.182269,171.086561,Porites
7.182269,171.086561,Merulina
7.182269,171.086561,Plesiastrea
7.128226,171.355937,Alveopora
7.101511,171.265532,Ctenactis
7.182269,171.086561,Ctenactis
7.128226,171.355937,Mycedium
7.128226,171.355937,Lobophyllia
7.101511,171.265532,Hydnophora
7.11065,171.135078,Porites
7.11065,171.135078,Acanthastrea
7.101511,171.265532,Caulastraea
7.101511,171.265532,Diploastrea
